Solomon Island		Eclectus	Eclectus	Eclectus roratus solomonensis	Eclectus		Psittaculidae	Psittaciformes	
Vosmaer's	Vos	Vos	Eclectus	Eclectus roratus vosmaeri	Eclectus		Psittaculidae	Psittaciformes	
Grand			Eclectus	Eclectus roratus roratus	Eclectus		Psittaculidae	Psittaciformes	
Aruensis	Aru Island		Eclectus	Eclectus roratus aruensis	Eclectus		Psittaculidae	Psittaciformes	
Biak	Biak Island		Eclectus	Eclectus roratus biaki	Eclectus		Psittaculidae	Psittaciformes	
Wessterman's			Eclectus	Eclectus roratus westermani	Eclectus		Psittaculidae	Psittaciformes	
Sumba Island			Eclectus	Eclectus roratus cornelia	Eclectus		Psittaculidae	Psittaciformes	
Tanimbar Islands			Eclectus	Eclectus roratus riedeli	Eclectus		Psittaculidae	Psittaciformes	
Australian			Eclectus	Eclectus roratus macgillivrayi	Eclectus		Psittaculidae	Psittaciformes	
White-bellied			Go-away-bird	Crinifer leucogaster	Crinifer		Musophagidae	Musophagiformes	
Bare-faced			Go-away-bird	Crinifer personatus	Crinifer		Musophagidae	Musophagiformes	
Gray 			Go-away-bird	Crinifer concolor	Crinifer		Musophagidae	Musophagiformes	
